cookieId,sessionId,timestamp
82,13,1/28/2016
71,87,3/25/2016
57,42,12/6/2015
68,33,7/31/2016
88,49,11/28/2016
76,84,7/2/2016
02,81,1/31/2016
64,37,7/10/2016
49,82,12/6/2015
57,32,6/22/2016
23,53,10/5/2016
75,93,3/27/2016
66,52,10/22/2016
99,19,5/10/2016
26,53,1/11/2016
52,03,11/22/2015
33,41,6/8/2016
77,65,5/17/2016
48,71,10/8/2016
77,13,8/11/2016
68,87,7/14/2016
95,37,8/7/2016
97,38,1/27/2016
98,53,3/25/2016
97,61,7/3/2016
89,53,1/11/2016
60,34,12/13/2015
49,97,3/13/2016
93,40,11/3/2016
30,01,5/10/2016
32,99,11/1/2015
12,61,10/15/2016
10,69,2/22/2016
01,19,12/25/2015
54,32,8/14/2016
99,22,2/27/2016
49,28,4/28/2016
31,73,5/13/2016
54,68,1/20/2016
83,16,9/13/2016
42,21,8/1/2016
03,91,8/21/2016
84,42,6/4/2016
64,34,5/1/2016
25,30,7/1/2016
84,26,12/2/2015
73,37,6/22/2016
17,09,2/27/2016
86,28,3/19/2016
71,43,7/25/2016
91,24,11/30/2015
27,18,5/5/2016
02,36,11/2/2015
98,66,12/25/2015
90,65,11/27/2015
73,17,8/20/2016
30,04,12/2/2015
03,90,12/31/2015
13,24,1/21/2016
03,89,5/21/2016
56,89,11/20/2016
25,57,11/23/2015
66,79,8/8/2016
32,08,12/6/2015
61,98,5/25/2016
52,85,2/23/2016
73,97,11/30/2015
92,31,3/2/2016
81,50,10/17/2016
24,16,7/7/2016
71,50,9/27/2016
03,49,5/24/2016
75,11,11/7/2015
28,97,6/26/2016
63,88,6/3/2016
55,55,4/8/2016
33,90,8/26/2016
91,28,9/9/2016
63,58,11/20/2016
87,89,9/22/2016
19,21,7/6/2016
51,91,6/29/2016
12,68,7/15/2016
03,54,7/20/2016
85,31,6/16/2016
72,24,4/21/2016
52,27,8/22/2016
97,15,12/19/2015
42,79,5/11/2016
26,49,11/27/2016
93,61,1/10/2016
96,91,10/21/2016
55,12,5/12/2016
49,90,7/11/2016
68,52,8/27/2016
94,72,6/23/2016
92,49,5/8/2016
07,37,6/1/2016
44,39,4/11/2016
23,72,1/15/2016
46,12,7/1/2016
55,35,7/21/2016
47,50,2/16/2016
54,61,5/6/2016
92,74,5/29/2016
49,76,11/16/2016
87,24,10/16/2016
28,79,10/4/2016
34,22,12/1/2015
81,94,9/10/2016
62,73,3/2/2016
45,77,7/25/2016
06,36,10/14/2016
35,00,12/25/2015
82,43,1/11/2016
39,66,9/25/2016
95,71,3/19/2016
44,71,1/18/2016
01,47,9/17/2016
28,37,8/28/2016
02,70,9/12/2016
46,89,1/30/2016
95,59,2/29/2016
66,27,8/6/2016
37,15,9/15/2016
00,54,3/20/2016
27,77,11/22/2015
15,77,12/24/2015
51,04,8/26/2016
10,10,6/13/2016
13,94,12/2/2015
93,20,9/5/2016
38,43,11/20/2015
72,12,3/6/2016
70,45,1/5/2016
16,79,5/6/2016
95,85,7/2/2016
09,19,12/10/2015
12,23,8/3/2016
35,58,9/13/2016
82,64,11/1/2015
26,67,11/25/2016
44,05,9/19/2016
73,34,11/3/2016
17,16,1/30/2016
39,92,8/2/2016
98,31,3/3/2016
10,36,7/29/2016
73,54,10/30/2016
